x0000,y0000
2.4102854729,2.4341998100
2.4297509193,2.1651277542
2.9440462589,1.8643305302
2.6057267189,2.3786900043
3.2460405827,1.0042564869
3.3186662197,1.9989271164
2.9631843567,2.4783167839
3.4402155876,0.6930938959
2.9622130394,1.0548099279
3.6955661774,1.7846490145
2.8973846436,1.7896896601
3.8873486519,1.8439840078
3.3509001732,1.6914631128
3.5691189766,0.6005915999
3.2080757618,1.0252382755
3.4101321697,1.0516539812
3.2140741348,2.2820472717
1.9686932564,2.8514971733
3.2758190632,0.7794246078
2.7381465435,1.3486188650
3.1361677647,0.4922985137
3.1637549400,0.8514873981
3.9835879803,1.6610491276
3.3778035641,1.6051890850
3.7124869823,2.0116930008
2.9957520962,1.3769630194
3.6581811905,1.5595754385
2.8462092876,1.57581985
3.6303029060,2.0574970245
3.6284525394,0.3417372406
2.8698925972,2.3213086128
2.6851015091,1.6482211351
3.2567796707,0.4776365757
2.6000511646,3.2087836266
2.5754969120,3.3842225075
1.1326225996,3.6393632889
2.4166491032,3.0028116703
2.0535809994,2.5809481144
2.5523428917,3.1707613468
2.5189068317,3.5096714497
2.5010414124,2.5440812111
2.0526514053,3.1046810150
2.3380277157,2.8357203007
-4.0224132538,9.2058410645
-5.3674211502,9.6468000412
-4.2475814819,9.2544479370
-4.6588459015,9.6470384598
-3.8402969837,8.8390378952
-3.9551558495,9.1768693924
-4.4270725250,9.1679697037
-4.1728901863,8.8697843552
-4.5845956802,9.0777378082
-5.2262797356,9.4739360809
-3.8477110863,9.1360025406
-4.459789753,9.9176378250
-5.6201839447,10.2717084885
-5.2066445351,10.0826263428
-4.0443243980,9.2205390930
-3.7429728508,9.8584184647
-4.1103930473,9.7311391830
-3.7973651886,9.4545621872
-3.7087879181,9.3968276978
-3.6131000519,9.0676736832
-5.4029784203,10.2192344666
-3.3190481663,9.3273401260
-3.4188849926,9.1252889633
-5.3945245743,10.5769996643
-3.7829051018,10.1799592972
-4.7108230591,10.5053319931
-5.4467902184,10.5981912613
-5.2805576324,10.7254829407
-3.4856021404,9.0624456406
-5.4667463303,10.3745670319
-5.7054839134,10.553021431
-4.9147691727,10.5116348267
-5.0686297417,10.134718895
-5.5485153198,10.4344482422
-3.8258371353,9.9907817841
-3.8776481152,9.7011709213
-3.772351265,9.6757888794
-5.5017681122,10.510887146
-3.5010068417,9.5206708908
3.7123441696,1.5702310801
3.7055876255,1.0979223251
3.4098479748,1.9959248304
3.8746962547,0.9167717695
3.7841784954,0.3928229213
3.4796891212,0.4697998464
4.0701231956,0.6268778443
3.0372056961,1.8514735699
2.4775638580,1.9625930786
0.1296764463,4.9991950989
2.2801487446,2.2239308357
3.5049071312,1.2197476625
0.2180456221,4.9009160995
3.8199586868,0.4308557808
-3.2925746441,9.6103210449
1.4774017334,4.2124600410
2.1505146027,4.8753199577
-2.9997704029,8.9819545746
1.5595318079,3.4059622288
2.2096202374,4.8961548805
-3.3230633736,9.5585212708
2.0433320999,4.5450801849
-3.0505874157,9.5297698975
1.2625669241,3.5547478199
2.5940196514,4.2245249748
1.6082363129,4.1185798645
1.5206698179,3.3776748180
1.6930651665,4.7775788307
0.9742849469,4.3131675720
1.5838563442,4.6228413582
1.0242658854,4.6070437431
1.5333224535,3.9293363094
1.183467865,3.4694542885
0.8597278595,4.0217452049
1.3140575886,4.8374876976
1.5574045181,5.1376128197
1.3469058275,3.6253623962
2.1405327320,4.4248104095
1.4730347395,5.2255239487
1.7143310308,3.4598591328
1.3803014755,5.0858817101
1.2792636156,3.746462822
2.4484407902,4.2150502205
1.8005182743,5.1832180023
1.6240533590,4.6565117836
1.7972922325,3.7228829861
1.6540404558,5.3945860863
1.6253843307,5.1235532761
1.911536932,3.5348844528
1.6215233803,4.4630084038
1.6395312548,3.7592396736
2.5105507374,4.4005250931
1.7751762867,4.5806274414
2.1337020397,4.1141419411
2.2737238407,4.0297169685
1.8007420301,5.1170935631
2.3236997128,4.3843541145
2.113301754,3.7722387314
1.1141477823,3.9439470768
1.7891757488,4.0406546593
2.8569633961,1.7002147436
-5.2383942604,9.9834737778
-5.2123274803,9.43907547
-4.0884895325,8.8074007034
-5.3009972572,9.5738792419
-4.7952136993,9.0548372269
-4.3930497169,9.9982757568
-5.7621684074,10.1354932785
-5.8807678223,10.3829498291
1.6679428816,4.5261559486
2.0454590321,4.2359223366
